time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,adapt_state,delta_y_target,delta_y_apply_rate,filtered_x_accel,observation_window_range,capture_progress,verify_progress,target_updated,u_raw,u_model,tau_each
0.014,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,-0,1.56112e-28,0,1,1,1,0,0.005,0,0,0,0,0,0,0,0.005,0,0,-7.67461,-7.67461,3.8373
0.018,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,6.21957e-33,1.56112e-28,0,1,1,1,0,0.009,0,0,0,0,0,0,0,0.009,0,0,-7.67461,-7.67461,3.8373
0.023,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.68871e-19,-1.49216e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,2.16911e-32,1.56112e-28,0,1,1,1,0,0.014,0,0,0,0,0,0,0,0.014,0,0,-7.67461,-7.67461,3.8373
0.028,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.68871e-19,-1.49216e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,4.47754e-32,1.56112e-28,0,1,1,1,0,0.019,0,0,0,0,0,0,0,0.019,0,0,-7.67461,-7.67461,3.8373
0.033,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.04093e-18,-2.48737e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,7.53967e-32,1.56112e-28,0,1,1,1,0,0.024,0,0,0,0,0,0,0,0.024,0,0,-7.67461,-7.67461,3.8373
0.037,0.36,0.5,0,2.09916e-13,0,2.09916e-13,-1.90073e-12,-1.04093e-18,-2.48737e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,1.67263e-15,-1.51452e-14,0,1,1,1,0,0.028,0,0,0,0,0,-1.48463e-13,0,0.028,0,0,-7.67461,-7.67461,3.8373
0.042,0.36,0.5,0,1.39855e-13,0,1.39855e-13,-1.63069e-12,0.000642101,-0.0115605,0.0373482,0.0373482,-0.0367061,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.015063,0.0153238,0,0,3.04757e-15,-3.12201e-14,0,1,0,1,0,0,0,0,0,0,0,-2.98019e-13,0,0,0,0,-8.13732,-8.13732,4.06866
0.047,0.36,0.5,0,1.57392e-13,0,1.57392e-13,-1.37353e-12,0.000642101,-0.0115605,0.0373482,0.0373482,-0.0367061,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.015063,0.0153212,0,0,4.58333e-15,-4.45764e-14,0,1,0,1,0,0,0,0,0,0,0,-4.13763e-13,0,0,0,0,-8.13732,-8.13732,4.06866
0.051,0.36,0.5,0,1.9349e-05,0,1.9349e-05,0.000321398,-9.50446e-05,-0.0266513,0.0373482,0.0373482,-0.0374433,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153654,0.0153215,0,0,1.54174e-07,2.56092e-06,0,1,0,1,0,0,0,0,0,0,0,2.51038e-05,0,0,0,0,-9.04984,-9.04984,4.52492
0.056,0.36,0.5,0,-0.00017981,0,-0.00017981,-0.00321307,-9.50446e-05,-0.0266513,0.0373482,0.0373482,-0.0374433,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153654,0.015322,0,0,-1.6365e-06,-2.94352e-05,0,1,0,1,0,0,0,0,0,0,0,-0.000288214,0,0,0,0,-9.21689,-9.21689,4.60844
0.061,0.36,0.5,0,-0.000794051,0,-0.000794051,-0.0108625,0.000834589,0.0256531,0.0373482,0.0373482,-0.0365136,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0149841,0.0153186,0,0,-9.52116e-06,-0.000137226,0,1,0,1,0,0,0,0,0,0,0,-0.00132556,0,0,0,0,-6.69805,-6.69805,3.34902
0.066,0.36,0.5,0,-0.00109891,0,-0.00109891,-0.0165279,0.000834589,0.0256531,0.0373482,0.0373482,-0.0365136,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0149841,0.0153153,0,0,-2.03608e-05,-0.000300316,0,1,0,1,0,0,0,0,0,0,0,-0.00285171,0,0,0,0,-6.96572,-6.96572,3.48286
